Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
json,medium,1,1,91,3.4179380499999996,16,0,1.57917855,1.57917855,3.44043805,165814.814,21548.424,1027456,691040,643748.1171875,643748.1171875,691040
json,medium,1,1,91,3.41750585,16,0,1.5792343999999998,1.5792343999999998,3.4400058500000004,168557.162,21937.267,1015744,624736,550840.1796875,550840.1796875,624736
json,medium,1,1,91,3.416857,16,0,1.57924355,1.57924355,3.4393569999999998,170801.192,22244.456,973984,684400,644677.046875,644677.046875,684400
json,medium,1,1,91,3.41648595,16,0,1.5793904499999998,1.5793904499999998,3.43898595,173360.45,22618.525,966032,599840,569255.1640625,569255.1640625,599840
json,medium,1,1,91,3.41597325,16,0,1.57920635,1.57920635,3.43847325,175622.886,22945.256,965952,685664,638827.2421875,638827.2421875,685664
json,medium,1,1,91,3.4139448000000003,16,0,1.57902155,1.57902155,3.4364448000000003,177892.998,23256.755,987392,706032,664502.3984375,664502.3984375,706032
json,medium,1,1,91,3.4139803499999997,16,0,1.5792357750000001,1.5792357750000001,3.4364803499999996,180814.827,23692.465,883488,695328,658610.2578125,658610.2578125,695328
json,medium,1,1,91,3.41630165,16,0,1.5800225999999997,1.5800225999999997,3.4388016500000003,183467.484,24092.995,896192,607328,565183.9140625,565183.9140625,607328
json,medium,1,1,91,3.4139905499999994,16,0,1.5792717250000001,1.5792717250000001,3.4364905499999994,185729.021,24428.704,899344,678240,645542.8359375,645542.8359375,678240
json,medium,1,1,91,3.4142879999999995,16,0,1.579167825,1.579167825,3.4367879999999995,187947.43,24764.631,926752,697392,650549.8671875,650549.8671875,697392
html,medium,0,0,31,9.64982805,193,0.6457195437011172,9.59882805,9.59882805,9.925128050000001,192576.221,25634.245,866496,610272,567382.953125,567382.953125,610272
html,medium,0,0,30,9.6495103,204,0.6457195437011172,9.6035103,9.6035103,10.0119603,196801.279,26423.94,882976,662720,621422.6640625,621422.6640625,662720
html,medium,0,0,31,9.6491743,194,0.6457195437011172,9.599174300000001,9.599174300000001,9.924924300000002,201091.627,27235.702,957184,655344,619799.4140625,619799.4140625,655344
html,medium,0,0,32,9.6494792,188,0.6457195437011172,9.5964792,9.5964792,9.9167792,205324.67,28002.79,964304,672224,628863.5,628863.5,672224
html,medium,0,0,32,9.64968915,187,0.6457195437011172,9.59768915,9.59768915,9.918989150000002,209556.118,28763.044,952848,667120,631438.90625,631438.90625,667120
