Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
json,medium,0,0,74,40.614699099999996,16,0,1.5790219,1.5790219,40.6371991,100918.091,12076.461,892032,641600,609159.1015625,609159.1015625,641600
json,medium,0,0,74,40.61398085,16,0,1.578811725,1.578811725,40.63648085,103299.034,12411.205,901280,705264,658403.0078125,658403.0078125,705264
json,medium,0,0,74,40.616504799999994,16,0,1.5791439500000002,1.5791439500000002,40.639004799999995,105946.56,12745.823,901280,640992,604300.125,604300.125,640992
json,medium,0,0,74,40.61925085,16,0,1.580423975,1.580423975,40.641750849999994,108343.346,13085.535,907296,702784,660139.1796875,660139.1796875,702784
json,medium,0,0,74,40.6141075,16,0,1.5791742500000001,1.5791742500000001,40.636607500000004,110991.641,13479.554,917536,618384,587007.8046875,587007.8046875,618384
json,medium,0,0,74,40.61445692499986,16,0,1.5788585,1.5788585,40.63695703749986,113277.797,13815.926,928192,696544,650607.578125,650607.578125,696544
json,medium,0,1,87,3.9593425,16,0,1.578814175,1.578814175,3.9893425000000007,115489.755,14154.127,947152,686688,646113.203125,646113.203125,686688
json,medium,0,1,87,3.9602329,16,0,1.5792411,1.5792411,3.9902329,118078.877,14540.148,947568,603232,562898.25,562898.25,603232
json,medium,0,1,87,3.9633634,16,0,1.578796675,1.578796675,3.9933634000000002,120334.342,14873.226,947760,683296,650588.125,650588.125,683296
json,medium,0,1,87,3.9636451500000005,16,0,1.5808718750000004,1.5808718750000004,3.9936451500000003,122574.424,15209.876,967408,706528,666763.0390625,666763.0390625,706528
json,medium,0,1,87,3.96090135,16,0,1.5788980750000001,1.5788980750000001,3.99090135,125090.86,15559.35,967408,707552,660970.3515625,660970.3515625,707552
json,medium,0,1,87,3.9599078499999996,16,0,1.5787929250000001,1.5787929250000001,3.98990785,127597.522,15929.504,957968,696368,655479.1328125,655479.1328125,696368
json,medium,0,1,87,3.9608015500000002,16,0,1.5792008499999997,1.5792008499999997,3.99080155,130042.369,16290.195,948096,617584,581618.1953125,581618.1953125,617584
json,medium,0,1,87,3.96041,16,0,1.5792054000000002,1.5792054000000002,3.99041,132910.705,16788.072,785360,630384,587208.0625,587208.0625,630384
json,medium,0,1,87,3.9598848999999996,16,0,1.579508225,1.579508225,3.9898849,135432.684,17194.268,962960,673632,629923.4765625,629923.4765625,673632
json,medium,0,1,87,3.96236635,16,0,1.5793825750000001,1.5793825750000001,3.99236635,138039.275,17581.268,933936,674992,636189.421875,636189.421875,674992
json,medium,1,0,74,20.0526446,16,0,1.58013535,1.58013535,20.075144599999998,140602.649,17975.668,991328,681344,640473.515625,640473.515625,681344
json,medium,1,0,74,20.053376449999995,16,0,1.5792444999999997,1.5792444999999997,20.07587645,143010.848,18327.771,1001184,682384,640323.7734375,640323.7734375,682384
json,medium,1,0,74,20.052106249999998,16,0,1.5797335499999998,1.5797335499999998,20.074606250000002,145409.05,18672.878,995328,691072,644437.8125,644437.8125,691072
json,medium,1,0,74,20.051795100000003,16,0,1.5792845750000002,1.5792845750000002,20.074295100000004,148303.918,19071.942,996688,630416,554935.890625,554935.890625,630416
json,medium,1,0,74,20.052180649999997,16,0,1.580439725,1.580439725,20.074680649999998,150866.074,19439.76,996304,687504,641120.6328125,641120.6328125,687504
json,medium,1,0,74,20.054341549999997,16,0,1.5810679,1.5810679,20.07684155,153748.345,19841.21,1004768,648288,552761.9921875,552761.9921875,648288
json,medium,1,0,74,20.05133105,16,0,1.5792002000000003,1.5792002000000003,20.07383105,156144.894,20171.984,996176,672288,626149.0703125,626149.0703125,672288
json,medium,1,0,74,20.0758432,16,0,1.5796947250000002,1.5796947250000002,20.098343200000002,158613.305,20530.439,1047056,667792,621790.546875,621790.546875,667792
json,medium,1,0,74,20.0532689,16,0,1.580055875,1.580055875,20.0757689,161053.509,20868.341,1043248,680064,641129.78125,641129.78125,680064
json,medium,1,0,74,20.052497499999998,16,0,1.5796723499999998,1.5796723499999998,20.074997500000002,163485.012,21207.332,1040976,683136,650035.4140625,650035.4140625,683136
